Crm Cd;Crm Cd Desc;Crm Category
110;CRIMINAL HOMICIDE;Homicide
113;MANSLAUGHTER, NEGLIGENT;Homicide
121;RAPE, FORCIBLE;Sexual Offenses
122;RAPE, ATTEMPTED;Sexual Offenses
210;ROBBERY;Robbery
220;ATTEMPTED ROBBERY;Robbery
230;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT;Assault
231;ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER;Assault
235;CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT;Assault
236;INTIMATE PARTNER - AGGRAVATED ASSAULT;Assault
237;CHILD NEGLECT (SEE 300 W.I.C.);Child Abuse and Neglect
250;SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCRAFT;Assault
251;SHOTS FIRED AT INHABITED DWELLING;Assault
310;BURGLARY;Theft
320;BURGLARY, ATTEMPTED;Theft
330;BURGLARY FROM VEHICLE;Theft
331;THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND ...;Theft
341;THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LI...;Theft
343;SHOPLIFTING-GRAND THEFT ($950.01 & OVER);Theft
347;GRAND THEFT / INSURANCE FRAUD;Theft
350;THEFT, PERSON;Theft
351;PURSE SNATCHING;Theft
352;PICKPOCKET;Theft
353;DRUNK ROLL;Others
354;THEFT OF IDENTITY;Fraud
410;BURGLARY FROM VEHICLE, ATTEMPTED;Theft
420;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER);Theft
421;THEFT FROM MOTOR VEHICLE - ATTEMPT;Theft
433;DRIVING WITHOUT OWNER CONSENT (DWOC);Theft
434;FALSE IMPRISONMENT;Violation of Court Order and Authority
435;LYNCHING;Homicide
436;LYNCHING - ATTEMPTED;Homicide
437;RESISTING ARREST;Violation of Court Order and Authority
438;RECKLESS DRIVING;Violation of Court Order and Authority
439;FALSE POLICE REPORT;Fraud
440;THEFT PLAIN - PETTY ($950 & UNDER);Theft
441;THEFT PLAIN - ATTEMPT;Theft
442;SHOPLIFTING - PETTY THEFT ($950 & UNDER);Theft
443;SHOPLIFTING - ATTEMPT;Theft
444;DISHONEST EMPLOYEE - PETTY THEFT;Theft
450;THEFT FROM PERSON - ATTEMPT;Theft
451;PURSE SNATCHING - ATTEMPT;Theft
452;PICKPOCKET, ATTEMPT;Theft
471;TILL TAP - PETTY ($950 & UNDER);Theft
473;THEFT, COIN MACHINE - GRAND ($950.01 & OVER);Theft
474;THEFT, COIN MACHINE - PETTY ($950 & UNDER);Theft
475;THEFT, COIN MACHINE - ATTEMPT;Theft
480;BIKE - STOLEN;Theft
510;VEHICLE - STOLEN;Theft
520;VEHICLE - ATTEMPT STOLEN;Theft
522;VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, B...;Theft
622;BATTERY ON A FIREFIGHTER;Assault
623;BATTERY POLICE (SIMPLE);Assault
624;BATTERY - SIMPLE ASSAULT;Assault
625;OTHER ASSAULT;Assault
